defect_id,run_id,fix_correct,known_bug,fix_description,notes
defect7_java,2,TRUE,"NullPointerException when array contains null element - no null check in loop","Added null check: `array[i] == null ? null : array[i].getClass()`","Correct fix"
defect7_java,3,TRUE,"NullPointerException when array contains null element - no null check in loop","Added null check with if/else block","Correct fix"
defect8_java,1,FALSE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Code still rejects double underscore at index 3","Bug not addressed; strictly expects uppercase letters at positions 3-4"
defect8_java,2,FALSE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Code still rejects double underscore at index 3","Bug not addressed"
defect8_java,3,FALSE,"Does not handle language__variant format (e.g. fr__POSIX); rejects double underscore","Empty output","Failure to generate code"
defect9_java,1,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null check for replacement entries in loop","Correct fix"
defect9_java,2,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null check for replacement entries","Correct fix"
defect9_java,3,TRUE,"NullPointerException when replacement is null; should skip null entries","Added null check for replacement entries","Correct fix"
defect10_java,1,FALSE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","No empty-string check after stripping; calls `numeric.charAt(0)`","Bug not addressed"
defect10_java,2,FALSE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","No empty-string check after stripping","Bug not addressed"
defect10_java,3,FALSE,"StringIndexOutOfBoundsException on empty string after stripping type qualifier (e.g. 'l' -> '')","No empty-string check after stripping","Bug not addressed"
defect11_java,1,FALSE,"No validation of start/end bounds; start==end gives zero-width range and unhelpful error","Adds gap comparison but message 'Parameter gap (0) must be positive' doesn't contain 'start'","Message fails test expectation `msg.contains(\"start\")`"
defect11_java,2,FALSE,"No validation of start/end bounds; start==end gives zero-width range and unhelpful error","No start>=end validation added","Bug not addressed"
defect11_java,3,FALSE,"No validation of start/end bounds; start==end gives zero-width range and unhelpful error","Adds gap comparison but message 'Parameter gap (0) must be positive' doesn't contain 'start'","Message fails test expectation `msg.contains(\"start\")`"
defect12_java,1,TRUE,"StringIndexOutOfBoundsException when lower > string length; upper forced to lower which is OOB","Added upper bounds check against str.length()","Correctly prevents OOB"
defect12_java,2,TRUE,"StringIndexOutOfBoundsException when lower > string length; upper forced to lower which is OOB","Added upper bounds check against str.length()","Correctly prevents OOB"
defect12_java,3,TRUE,"StringIndexOutOfBoundsException when lower > string length; upper forced to lower which is OOB","Added upper bounds check against str.length()","Correctly prevents OOB"
